제목,본문
"""나도 받을 수 있나"" 연 3%대 안심전환대출, 내일부터 사전안내","



한국주택금융공사는 17일부터 공사와 국민·기업·농협·신한·우리·하나 등 6대 은행 사전안내 사이트에서 안심전환대출 신청자격과 방법 등을 안내한다.안심전환대출은 금리 상승기 주택담보 대출자의 경제적 부담을 덜기 위해 1·2금융권에서 받은 변동·혼합형금리 주택담보대출을 공사의 장기·고정금리 정책모기지로 바꿔주는 상품으로 9월 15일부터 신청·접수가 시작된다.대상은 부부 합산 연 소득 7000만원 이하 1주택자가 신청할 수 있으며, 주택가격은 4억원 이하이다. 기존 대출의 잔액 범위 내에서 최대 2억5000만원까지 대출이 가능하다. 대출금리는 연 3.8%(10년)~4.0%(30년)이며, 만 39세 이하 연소득 6000만원 이하 청년층은 연 3.7%(10년)~3.9%(30년) 금리가 적용된다.현재 이용 중인 주택담보대출이 6대 은행에서 받은 대출인 경우 해당 은행의 사전안내 사이트, 이밖의 은행과 제2금융권(저축은행,보험사 등)에서 받은 대출인 경우에는 공사 홈페이지를 통해 신청자격 여부, 신청방법 및 일정, 제출서류 등을 확인하면 된다.사전안내를 통해 주택가격, 소득, 주택보유 수 등 체크리스트를 통해 신청 대상 해당 여부를 바로 확인할 수 있다. 본인 주택 시세와 공시가격(현실화율 감안) 등도 조회가 가능해 주택가격 4억원 이하 요건충족 여부를 알 수 있다.안심전환대출 신청·접수는 9월 15일부터 시작된다. 대환 예정인 기존 주택담보대출 취급기관이 6대 은행인 경우 해당 은행의 영업점 또는 온라인을 통해, 이외 은행과 제2금융권인 경우에는 주택금융공사 홈페이지 또는 스마트주택금융 앱에서 신청할 수 있다.



재원이 25조원으로 한정된 만큼 대상자 선정은 주택가격이 낮은 순으로 결정된다. 먼저 주택가격 3억원 이하에 대해 9월 15일부터 28일까지 안심전환대출 신청을 받고, 재원에 미달할 경우 2차로 주택가격 4억원 이하 대상으로 10월 6일부터 13일까지 신청을 받아 순차적으로 진행된다.신청자가 특정 일자에 몰리지 않도록 주민등록상 출생연도 끝자리에 따라 신청요일을 다르다. 예컨대 출생연도 끝자리가 4 또는 9인 사람은 목요일에, 5 또는 0인 사람은 금요일에 신청하는 방식이다.[전종헌 매경닷컴 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
3곳 이상 빚진 다중채무자 '역대급' 폭탄 경고…해법은?,"



 금융권에 빚을 진 채무자 5명 중 1명은 다중채무자(3곳이상 빚진 채무자)인 가운데 40대 비중이 가장 큰 것으로 나타났다. 1분기 다중채무자 비중은 관련 통계를 집계하기 시작한 2012년 이후 최고치다. 이에 급한 빚을 대신 갚아주는 '신용보험'이 주목받고 있다.16일 한국은행이 국회 정무위원회 소속 국민의힘 윤창현 의원에게 제출한 자료에 따르면 올해 1분기 말 기준 가계대출자 중 22.4%가 다중 채무자였다.지난해 말(22.1%)보다 비중이 0.3%포인트 늘어난 것으로, 집계가 시작된 2012년 이후 최고 기록이라는 게 한은의 설명이다.지난해 말 전체 차주 수가 1989만4000명인 것을 감안 시 약 445만6000명이 다중채무자로 추산된다.차주(대출자) 수가 아니라 대출 잔액 기준 다중 채무의 비중은 31.9%로 집계됐다.연령별로 보면 40대가 보유한 대출이 전체 대출 잔액의 32.6%로 가장 큰 비중을 차지했으며 그 뒤를 50대 28.0%, 30대 이하 26.8%, 60대 이상 12.6% 순이었다. 40대 비중은 지난해 말보다 1.1%포인트 하락했다. 반면 30대 이하는 같은 기간 0.6%포인트, 50대는 0.2%포인트 늘었다.아울러 다중 채무자 대출 잔액을 차주의 소득 수준에 따라 살펴보면 고소득자(소득 상위 30%)가 65.6%를 차지했고 중소득자(소득 30∼70%)와 저소득자(소득 하위 30%)의 비중은 각각 25.0%, 9.4%였다.은행권 관계자는 ""올해 들어 전반적으로 가계대출은 소폭이나마 감소했음에도 다중 채무자 비중이 오히려 커진 것은, 코로나19 여파가 길어지면서 자영업자 등 한계에 이른 차주들이 저축은행을 비롯한 2금융권 등에서까지 돈을 빌렸기 때문으로 추정된다""고 말했다.


금융권 관계자는 ""다중채무자 규모도 상당하지만 향후 코로나19 금융지원이 종료되고, 금리인상이 이어질 것이라는 게 더 큰 문제""라며 ""대출자들이 은행 등에서 '신용보험' 상품 소개를 받을 수 있다면 부채와 관련한 민간 차원의 대책이 될 수 있을 것""이라고 강조했다. 이어 ""일본처럼 제도적으로 중저신용자들이 의무적으로 신용보험을 가입하도록 하는 것도 가계대출 부실 우려를 막기 위한 선택지가 될 수 있다""고 덧붙였다.신용보험은 채무를 부담한 자가 사망, 상해·질병, 실업 등으로 채무를 변제하지 못할 경우 보험금으로 미상환 부채를 상환한다. 현재 국내에서의 신용보험은 보험업법의 허가 종목단위에는 없고, 방카슈랑스 규정에서 '신용보험이란 금융기관으로부터 대출을 받은 피보험자가 사망했을 때 미상환액을 보상한다'고 규정돼 있다. 이렇다 보니 방카슈랑스 규정상 은행 대출창구 등에서는 관련 상품을 소개할 수 없어 인지도가 낮다. 물론 이같은 문제를 해결하기 위해 법 개정도 추진되고 있지만, 진척이 없는 상태다.한편 신한은행은 16일부터 취약 차주의 신용대출 금리를 1년간 최대 1.5%포인트 낮춰준다고 밝혔다.금리인하 대상은 올 7월 말 기준으로 금리가 연 7%를 넘는 새희망홀씨대출 등 서민성 일반 신용대출을 가진 다중채무자(신한은행 포함 3개 이상 금융기관 대출), 인하 폭은 최대 연 1.5%포인트다. 현재 서민성 신용대출을 이용하는 고객의 금리가 연 9%라면 인하 폭으로 1.5%포인트를 적용하고, 금리가 연 8%라면 연 1%포인트를 적용해 최종 금리는 각각 연 7.5%, 연 7%로 낮아진다.신한은행은 이번 지원에 따른 소요 금액을 7500억원, 지원 대상자를 약 7만2000여 명으로 추산했다.[류영상 매경닷컴 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
탄소배출권 거래제 손본다…평균보다 배출 적어야 유리,"정부가 온실가스 배출량이 많았던 기업에 유리하게 설계됐다는 비판을 받아온 배출권 거래제도를 손본다.15일 환경부는 온실가스 배출권 거래제도를 개선하기 위해 '배출권 거래제 선진화 협의체'를 만들고 첫 회의를 16일 서울 중구 상연재 회의장에서 연다고 밝혔다. 협의체에는 관계부처와 배출권 거래제 대상 기업·협회, 전문가 등이 참여한다.온실가스 배출권 거래제는 이산화탄소를 비롯한 온실가스 배출량이 많은 사업장에 연간 배출할 수 있는 양을 정해주고, 이를 서로 거래할 수 있게 하는 제도다. 가령 연간 1만t 이산화탄소를 배출할 수 있게 할당받은 기업이 배출량을 감축해 실제 배출량이 9000t에 그쳤다면, 나머지 1000t에 대해 다른 기업에 배출권을 판매할 수 있게 하는 제도다.협의체는 그동안 문제점이 있다고 지적됐던 배출 실적 기준 할당 제도를 개선한다. 현재 국내에서 할당량을 분배하는 기준인 배출 실적 기준 제도는 얼마만큼 배출량을 줄였는지를 비교하는 방식으로, 과거 온실가스 배출량이 많았던 기업에 유리한 제도라는 비판을 받아왔다.전완 환경부 기후경제과장은 ""온실가스 배출이 동종 업체에 비해 얼마나 적은지를 중요하게 여기는 배출 효율 기준 할당 제도를 확대하기 위해 의견을 수렴할 계획""이라고 전했다. 환경부는 유럽연합(EU)이 도입을 준비하고 있는 탄소국경조정제도(CBAM)에 대응하기 위해서라도 할당 제도 개편이 필요하다고 밝혔다. 온실가스 배출권 유상 할당 확대도 추진된다. 현재 온실가스 배출권 중 대부분(90%)이 돈을 내지 않아도 되는 무상 할당으로 이뤄지고 있으며, 돈을 내고 온실가스를 배출하도록 하는 유상 할당은 10% 수준에 그친다. 협의체는 배출권 할당제를 개선하고 온실가스 감축 지원을 확대하는 방안도 논의한다. 온실가스를 줄이려는 노력에 대한 혜택을 늘리는 한편 배출권 거래 시장을 활성화하고 불합리한 행정 부담을 줄이는 방안을 찾을 계획이다.금한승 환경부 기후탄소정책실장은 ""배출권 유상 할당을 통한 수입을 활용해 기업 지원 방안을 확대할 계획""이라며 ""탄소차액계약제도 등 신기술을 도입하기 위한 지원도 늘리겠다""고 말했다. 탄소차액계약제도는 정부와 기업이 탄소 가격을 보장하는 계약을 맺고 배출권 가격이 일정 이하로 내려오면 차액을 보전해주는 방식이다. 탄소 저감에 대한 부담이 큰 석유화학·철강 기업 등은 배출권 가격이 많이 하락하면 투자액을 회수하지 못할 수 있는데, 이를 보전하는 제도다.  [송민근 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
[세종 인사이드] 긴축재정에…더 치열해진 예산 확보전,"정부가 내년 예산안을 편성하면서 대대적인 긴축을 추진하자 예산 배분을 담당하는 기획재정부의 힘이 더욱 세졌다. 기재부가 배분할 수 있는 돈의 규모가 작아지자 각 부처를 비롯해 지방자치단체, 공공기관 등이 중앙정부의 예산을 받아 내기 위해 예산 확보전에 사활을 걸었기 때문이다.15일 관가에 따르면 제주도는 최근 도 본청과 제주시, 서귀포시 등에 '2023년 국비 관련 문제·쟁점 사업 기재부 예산 담당 부서 방문 절충 총력(재강조)'이라는 제목의 공문을 내려보냈다.공문에는 ""최근 기재부 예산 심사 동향 파악 결과, 내년도 국비예산과 관련해 새 정부의 긴축 재정 기조로 최대 규모의 지출 구조조정이 추진되고 있다""며 ""소관 부처 예산안에 반영은 됐으나 기재부 심의 시 우선순위에 밀려 반영되지 못하는 사업을 중심으로 반드시 기재부 예산 담당 부서를 방문해 국비 반영 필요성 설명 및 설득 작업에 최선을 다해주시길 바란다""는 이례적인 내용이 담겼다.기재부가 역대 최대 수준의 지출 구조조정을 공언하면서 예산을 받아 내야 하는 다른 기관들에도 비상이 걸렸다. 관가에 따르면 예산 편성 기간에 공공기관이나 지방자치단체의 문서 결재함은 기재부 예산실 방문을 위한 출장 공문으로 도배되다시피 했다고 한다. 2020~2021년 기재부 세종청사는 코로나19 사태로 대면회의가 어려워지며 한가한 분위기였는데, 올해에는 예산실을 찾으려는 외부 방문객으로 문전성시를 이루고 있다.정부는 문재인 정부 5년간 연평균 8.7%에 달했던 예산 증가율을 5% 안팎으로 낮추는 방안을 추진하고 있다. 새 정부 국정과제 이행에 필요한 예산 소요까지 감안하면 신사업 추진은커녕 기존 사업에 대한 예산을 지켜내기에도 벅차다는 볼멘소리가 관가에서 흘러나온다. 한 공무원은 ""5년 내내 예산 편성 때마다 이 같은 상황이 반복될까 봐 걱정이 앞선다""고 말했다. 공공 부문 예산권을 쥐고 있는 기재부의 힘은 어제오늘의 일이 아니다. 하지만 정부가 출범 직후부터 역대 최대 수준의 지출 구조조정을 선언하자 예산을 받아 내야 하는 지자체와 공공기관들은 돈줄 확보에 일제히 비상이 걸린 상태다.  [전경운 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"산업부, 미래차 R&D 예산 8배로 확대…연간 800억까지 증액","정부가 미래차 신사업을 확장하기 위해 관련 사업 재편을 추진하고 있는 기업에 대한 연구개발(R&D) 예산을 8배 늘린다. 장영진 산업통상자원부 제1차관은 15일 미래차 전환을 위해 사업 재편을 추진 중인 자동차 부품사 공장을 찾아 현장의 애로를 듣고 이 같은 수출·투자 확대 방침을 밝혔다.이날 장 차관이 방문한 자동차 부품 기업은 인천 송도에 위치한 (주)이씨스로, 내연기관차 전장부품 기업에서 자율주행차 통신융합모듈 기업으로의 사업 재편을 위해 382억원 규모 투자를 추진하고 있다. 장 차관은 ""현행 연간 100억원 수준인 사업 재편 R&D 예산을 연간 800억원까지 늘리고, 사업 재편 승인 기업에 대한 수출 마케팅과 무역금융 지원을 확대하겠다""고 말했다. [박동환 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
日서 '소부장 독립' 시작하자…이 나라 존재감 확 커졌다,"


 일본의 무역보복 이후 3년여가 지난 가운데 한국 소재·부품·장비(소부장) 부문의 대(對)일본 수입 의존도가 한풀 꺾인 것으로 확인됐다. 같은 기간 대중국 의존도는 30% 선까지 상승해 여전히 공급망 다변화를 위한 노력이 필요하다는 지적이 나온다.15일 산업통상자원부 소부장넷에 따르면 올해 7월까지 소부장 부문 전체 수출액은 2151억325만달러, 수입액은 1526억5384만달러로 집계됐다. 올해 7월까지 소부장 분야 무역수지는 624억4941만달러 흑자를 기록했다. 에너지 가격 상승으로 인해 5개월 연속 무역적자가 가시화되는 가운데 소부장 부문에서는 흑자를 기록한 것이다.2019년 7월 일본 정부는 반도체·디스플레이 분야 소재와 관련해 대한국 수출 규제를 발표했다. 한국 대법원이 일제 강제징용에 대한 배상이 필요하다는 판결을 내자 보복성으로 내린 조치였다. 이에 정부는 소부장 분야에서 일본에 대한 의존도를 낮추기 위해 기술개발, 수입처 다변화를 추진하고 경쟁력을 육성해 무역흑자를 내기 위해 노력해왔다.매일경제가 산업부 통계를 확인한 결과, 소부장 분야에서 대일 수입 의존도는 지난 3년간 감소세를 보인 것으로 나타났다. 소부장 분야에서 대일 수입액은 2020년 340억달러, 2021년 393억달러, 올해 1~7월 233억달러로 점차 늘어나는 추세다.다만 이는 무역 규모가 확대된 영향으로 전체 소부장 수입액 중 대일 비중은 2020년 17.2%에서 2021년 15.8%, 2022년 15.3%로 점차 낮아지고 있다. 산업부 관계자는 ""소부장 전체 대일 수입 의존도가 역대 가장 낮은 수준으로 떨어졌다""고 말했다.정부와 민간의 노력 덕분에 소부장 수입 대일 의존도가 낮아졌지만, 같은 기간 대중 의존도는 더 높아졌다. 소부장 분야에서 대중 수입액은 2020년 542억달러에서 2021년 710억달러로 훌쩍 뛰었다.올해 1~7월에 벌써 451억달러를 기록해 연말이면 대중 소부장 수입액이 770억달러 선까지 늘어날 것이라는 전망이 나온다. 일본산 소부장 수입 의존도가 낮아지면서 생긴 공백을 중국산이 메운 셈이다. 소부장 분야 대중 수입 의존도는 2020년 27.4%에서 지난해 28.6%로 올랐으며 올해 들어 7월까지는 29.5%로 치솟아 30%에 육박하고 있다.대중 수입 의존도가 높아지는 가운데 대중 소부장 무역흑자는 줄고 있다. 대중 소부장 무역수지는 2020년 363억달러, 2021년에는 355억달러 흑자를 기록했다. 반면 올해는 7월을 기준으로 소부장 분야 흑자액이 135억달러에 불과해 이 같은 추세가 이어지면 연간 흑자액도 230억달러 내외에 그칠 것으로 전망된다.김정식 연세대 경제학부 명예교수는 ""중국에서 2차전지용 소재나 부품 수입액이 늘어난 영향 때문에 대중 수입 의존도가 높아진 것""이라며 ""중국에 위치한 삼성전자 반도체 공장이 가동된 것도 수입액 증가에 영향을 줬다""고 말했다. 중국 시안에 위치한 삼성전자 반도체 공장에서 기초 공정을 거친 반도체 반제품을 국내로 들여와 완성하기 때문에 국제수지상으로는 대중 수입액으로 잡힌다는 것이다.대중 수입 의존도가 높아지고 있지만 대중 무역흑자는 줄고 있어 대일 의존도 탈피에 이어 대중 의존도를 줄이는 게 또다시 필요해졌다.성한경 서울시립대 경제학부 교수는 ""적자 자체가 나쁜 것은 아니지만 배터리, 반도체 등 주력 산업의 소재·부품·장비를 중국에 지나치게 의존하고 있다는 점은 문제가 될 수 있다""고 경고했다.대일 적자는 여전하다. 2020년 213억달러 적자를 기록한 데 이어 지난해에는 적자 폭이 244억달러로 커졌다. 올해 1~7월에도 145억달러 적자를 기록했는데, 이 같은 추세가 이어지면 지난해와 비슷한 수준의 연간 무역적자를 기록할 것으로 전망된다.[송민근 기자 / 박동환 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"삼성화재, 다이렉트 운전자보험 40만명 돌파","



 삼성화재는 다이렉트 운전자보험 고객이 40만명을 돌파했다고 15일 밝혔다. 운전자보험은 자동차로 사망 등 중과실 사고를 냈을 때 발생하는 형사적·행정적 책임을 보상하는 상품이다. 2010년 12월 출시된 다이렉트 운전자보험의 가입 고객 수는 2016년 9월 10만명, 2019년 1월 20만명, 2020년 11월 30만명을 넘어 지난 5월 말 40만명을 넘어섰다. 대표적 특약으로 부부가 함께 보장받을 수 있는 부부형 운전자보험 특약이 있다. 삼성화재는 주행거리에 따라 최대 10% 적립 가능한 '다이렉트 마일리지 운전자보험'도 선보였다. 기존 삼성화재 자동차보험 가입 고객이 운전자보험에 가입하면 매월 보험료를 5% 할인해준다. [명지예 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
WON뱅킹 가입자에 금 열쇠…우리은행 3주년 기념 이벤트,"우리은행이 모바일 애플리케이션 '우리WON뱅킹' 출시 3주년을 맞아 이벤트를 실시한다고 15일 밝혔다. 이번 이벤트는 오는 9월 30일까지 우리WON뱅킹에서 최초 가입 고객뿐만 아니라 기존 고객도 참여할 수 있다.'3주년 행복한 시작' 이벤트는 우리WON뱅킹에 처음 가입한 고객을 대상으로 1만원 상당 △GS칼텍스 주유 쿠폰 △스타벅스 커피 쿠폰 △파리바게뜨 미니 케이크 쿠폰 중 1개를 제공한다. 기존 고객을 포함해 '원뱅킹' '3주년' '축하해' 제시어로 삼행시 댓글을 남기면 추첨을 통해 배스킨라빈스 파인트 모바일 쿠폰을 2000명에게 지급한다. 첫 가입 이벤트 또는 삼행시 이벤트에 참여한 고객을 대상으로 추가 추첨을 통해 순금 열쇠 10돈(1명) 등을 제공한다. [명지예 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
MZ 전세대출 100조원…빚 폭탄 터지나,"



 전세자금을 마련하기 위해 20·30대가 은행에서 빌린 돈이 100조원에 육박하는 것으로 나타났다. 전세대출은 변동금리 비중이 높은 데다 고정금리를 선택하더라도 대출 만기가 짧아 금리 상승기 대출자들의 이자 부담이 급격히 늘어날 수 있다는 지적이 나온다. 15일 진선미 더불어민주당 의원이 금융감독원에서 받은 '은행권 전세자금대출 현황'에 따르면 지난 4월 말 기준 20·30대가 은행에서 빌린 전세대출 잔액은 96조3672억원으로, 작년 말보다 2조1915억원(2.3%) 증가했다. 20·30대의 은행 전세대출 잔액은 2019년 말 54조7381억원에서 2020년 말 76조1787억원, 2021년 94조1757억원으로 매년 가파르게 늘어났다. 전셋값 상승 여파로 20·30대는 전세자금의 상당 부분을 빚으로 충당하지 않고서는 전세로 살 집을 구하지 못하게 된 현실이 반영된 것으로 풀이된다.전체 전세대출 차주 가운데 20·30대 비중도 높아졌다. 4월 말 기준 은행권에서 전세대출을 받은 차주(133만5090명) 중 20·30대는 총 81만6353명으로 61.1%를 차지했다. 2019년 말만 해도 56.5%였다. 전세대출의 지표 금리가 되는 코픽스(COFIX·자금조달비용지수)는 지난 6월 기준 2.38%(신규 취급액 기준)로 1년 전(0.92%)보다 1.46%포인트 올랐다. 한국은행이 기준금리 인상 기조를 이어가고 있어 코픽스에 연동되는 전세대출 금리도 당분간 상승할 가능성이 높다. [김혜순 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"신한銀, 다중채무자 대상 연 7%넘는 신용대출자…금리 최대 1.5%P 인하","신한은행이 연 7%를 넘는 신용대출 이용 고객의 금리를 1년간 최대 1.5%포인트 낮춰주는 방안을 시행한다고 15일 밝혔다. 지원 대상은 7월 말 기준 금리가 연 7%를 넘는 일반신용대출(새희망홀씨대출 포함)을 받고 있는 다중 채무자(신한은행 포함 3개 이상 금융회사 대출 보유자)다. 1년 동안 이들의 신용대출 금리를 7%까지 낮춰준다. 단 최대 인하 폭은 1.5%포인트다. 은행 관계자는 ""금리가 연 8.5%를 넘는 신용대출을 보유 중인 고객에게는 최대 인하 폭인 1.5%포인트를 적용하고, 8.5% 미만인 고객은 하한선인 7%에 맞춰주는 방식""이라고 설명했다.금리 인하 지원기간에는 연기 등의 사유로 금리가 재산출되더라도 최초 지원한 금리우대 폭을 동일하게 적용한다. 신한은행은 이번 지원 방안으로 고객 7만2000여 명이 혜택을 받을 것으로 보고 있다. 지원 금액은 약 7500억원이다. 신한은행은 지난달부터 △연 5% 초과 주택담보대출 금리 인하 조치 △5년 기한 연장을 통한 분할상환금 완화 △금리 상한 주택담보대출 약정 시 가산금리 면제 △전세자금대출 2년 고정금리 인하 등 금리 상승기 상생 금융 조치를 시행하고 있다.작년 말 이후 가계대출은 줄어드는 추세지만 금리 상승기에 부실화될 가능성이 높은 다중 채무자 비중은 오히려 더 커졌다.이날 한국은행이 윤창현 국민의힘 의원에게 제출한 자료에 따르면 가계부채 데이터베이스(DB)상 약 100만명의 신용정보를 바탕으로 분석했을 때 올해 1분기 말 기준 가계대출자 가운데 22.4%가 다중 채무자였다. 작년 말(22.1%)보다 비중이 0.3%포인트 늘어난 것으로, 집계가 시작된 2012년 이후 최고 기록이라는 게 한은 측 설명이다. 작년 말 기준 전체 차주(1989만4000명)에 이 비중(22.4%)을 적용하면 약 445만6000명이 다중 채무자인 셈이다. 대출 잔액 기준 다중 채무 비중은 31.9%로 집계됐다. 특히 금융기관 가운데 저축은행과 30대 이하, 중·저소득 계층의 다중 채무 비중이 늘어나고 있다. 저축은행의 경우 1분기 말 대출 잔액 기준으로 76.8%, 차주 수 기준으로는 69.0%가 다중 채무 상태였다. 은행의 다중 채무자 비율은 대출 잔액과 차주 기준으로 각각 27.6%, 25.4%로 집계됐다.[김혜순 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
주담대 정부상품이 절반…시장 왜곡 우려,"


 국내 은행 주택담보대출 잔액 중 정부가 취급하는 정책모기지가 차지하는 비중이 사상 최대치인 20%까지 높아진 것으로 나타났다. 올 들어 금리가 빠른 속도로 오르면서 민간 은행의 주담대는 위축된 반면 정부가 주택 시장 안정을 위해 다양한 정책상품을 내놓은 데 따른 결과다. 전문가들은 정부 예산이 지나치게 부동산 금융에 쏠릴 경우 정부는 시장 변동 리스크에 노출되며, 정부가 재원 마련을 위해 채권을 발행하면 이는 실세금리를 끌어올려 주담대 금리를 다시 올리는 부작용이 있다고 지적했다.15일 한국주택금융공사가 국회 정무위원회에 제출한 업무보고에 따르면 올해 6월 기준 은행권 주담대 잔액(789조원) 중 정책모기지 잔액이 155조원으로 집계돼 정책모기지 비중이 19.6%에 달했다. 특히 올 들어 늘어난 은행권 주담대(10조원)에서 정책모기지가 차지하는 비중이 50%에 육박했다. 정책모기지는 주택금융공사가 서민의 내 집 마련을 돕기 위해 출시한 상품으로 디딤돌대출, 보금자리론, 적격대출 등이 있다. 정부의 정책모기지는 주택을 구매할 때 고정금리 대출을 저렴하게 받을 수 있다는 점에서 수요자들에게 인기가 높다. 지난해엔 20·30대 젊은 층이 '영끌' 매수에 가세하며 6억원 이하 주택을 대상으로 한 보금자리론 판매 실적이 무려 23조3400억원에 달했다.주택대출에서 정부의 모기지가 차지하는 비중은 더 늘어날 것으로 전망된다. 올 들어 보금자리론 금리가 연 5%에 가깝게 높아지면서 판매 실적도 작년보다 꺾이는 추세다. 하지만 정부가 17일부터 연말까지 보금자리론 금리를 인하해 공급하기로 발표하면서 수요가 다시 늘 것으로 보인다. 보금자리론은 부부합산 연 소득 7000만원 이하(신혼부부 8500만원 이하) 가구가 시세 6억원 이하 주택을 구매할 때 받을 수 있는 대출상품이다. 현재는 만기 40년 기준 연 4.83% 금리가 적용되지만 정부는 이를 0.35%포인트 내려 연 4.5%대로 연말까지 공급한다는 계획이다. 또 정부는 시중은행의 변동금리 대출을 고정금리로 전환해주는 안심전환대출을 9월부터 새로 공급할 방침이다. 금리 수준은 보금자리론보다 45~55bp(1bp는 0.01%포인트) 낮은 연 3.7~4.0%로 공급될 예정이어서 인기가 높을 것으로 예상된다. 최근 은행권 가계대출 수요가 주춤한 가운데 정부가 내년까지 45조원 규모 안심전환대출을 출시해 은행이 보유한 채권을 인수하면 전체 은행권 주담대에서 정부의 정책모기지가 차지하는 비중은 25%까지 높아지게 된다. 우리나라 국민 4명 중 1명은 은행이 아닌 정부를 통해 주택대출을 받는 셈이다.한편 정부의 부동산 대출 비중이 늘어나는 것과 관련해 우려의 목소리도 나온다. 하준경 한양대 경제학과 교수는 ""정책적 배려가 필요한 계층에는 정책금융을 통해 자금을 공급할 필요가 있다""면서도 ""정부 자금이 부동산에 지나치게 쏠리면 집값을 높이는 역할을 하고, 거시경제 리스크 관리에도 어려움을 겪을 수 있다""고 지적했다. 정부가 시장 기능을 위축시키고 주택 수요를 늘려 집값을 오히려 끌어올리는 역할을 할 수 있다는 것이다. 향후 금리가 내려가면 안심전환대출 같은 고정금리 상품의 중도 해지가 늘어날 수 있다. 실제로 안심전환대출은 2015년에도 미국의 기준금리 인상이 예고돼 출시된 바 있지만, 이후 오히려 시장금리가 내려가면서 중도 해지가 7만건 이상 발생했다. 아울러 도덕적 해이가 발생할 가능성도 제기된다. 하 교수는 ""변동금리 대출을 받은 사람은 리스크를 감내하겠다는 선택을 한 것""이라며 ""리스크가 현실화될 때마다 정부가 모두 떠안아주면 도덕적 해이가 나타날 수 있다""고 말했다. [김유신 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
금융현장 메신저 6기 출범…소비자 입장서 개선안 제안,"금융위원회는 금융소비자 입장에서 다양한 의견을 전달할 '금융 현장 메신저' 6기 105명을 위촉했다고 15일 밝혔다. 코로나19 사태로 지난 2020년 11월 5기 활동이 중단된 지 21개월 만의 활동 재개다. 현장 메신저는 소비자단체, 금융회사 고객, 청·장년·고령층 등 7개 그룹으로 구성돼 앞으로 1년간 금융 현장의 다양한 목소리를 금융당국에 전달할 예정이다.현장 메신저의 제안 사안은 금융회사 등 관계기관과의 논의와 금융당국 검토 등을 거쳐 제도개선에 적극적으로 반영할 방침이다.금융당국은 2016년부터 2020년까지 1∼5기 현장 메신저를 운영하며 제도개선에 반영해왔다.1∼5기 활동에서 금융당국이 회신을 완료한 제안 사안 575건 중 319건은 현장 조치가 됐고, 142건이 검토 후 수용된 바 있다. [김혜순 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
